user,session,time,x,y,rotation
18,3420,1365214701754,1730,356,1
18,3420,1365214701762,1730,356,1
18,3420,1365214701778,1730,356,1
18,3420,1365214701794,1730,356,1
18,3420,1365214702041,1730,343,1
18,3420,1365214702057,1730,346,1
18,3420,1365214702065,1730,348,1
18,3420,1365214702073,1730,348,1
18,3420,1365214702087,1730,350,1
18,3420,1365214702095,1730,351,1
18,3420,1365214702111,1730,351,1
18,3420,1365214702127,1730,352,1
18,3420,1365214703911,1765,409,1
18,3420,1365214703995,1765,409,1
18,3420,1365214704143,1765,409,1
18,3420,1365214705525,1747,414,1
18,3420,1365214707419,1721,424,1
18,3420,1365214707449,1721,425,1
18,3420,1365214707495,1721,425,1
18,3420,1365214707549,1721,425,1
18,3420,1365214707835,1721,422,1
18,3420,1365214707859,1721,422,1
18,3420,1365214707881,1721,423,1
18,3420,1365214707913,1721,424,1
18,3420,1365214708985,1737,457,-1
18,3420,1365214709017,1737,457,-1
18,3420,1365214709041,1737,457,-1
18,3420,1365214709063,1737,457,-1
18,3420,1365214709095,1737,457,-1
18,3420,1365214709125,1737,457,-1
18,3420,1365214709465,1737,457,-1
18,3420,1365214710376,1737,457,1
18,3420,1365214710460,1737,457,1
18,3420,1365214710514,1737,457,1
18,3420,1365214710577,1737,457,1
18,3420,1365214711357,1737,457,-1
18,3420,1365214711381,1737,457,-1
18,3420,1365214711397,1737,457,-1
18,3420,1365214711419,1737,457,-1
18,3420,1365214711435,1737,457,-1
18,3420,1365214711465,1737,457,-1
18,3420,1365214711697,1739,442,-1
18,3420,1365214711712,1739,442,-1
18,3420,1365214711728,1739,442,-1
18,3420,1365214711744,1739,442,-1
18,3420,1365214711751,1739,442,-1
18,3420,1365214711766,1739,442,-1
18,3420,1365214711790,1739,442,-1
18,3420,1365214712020,1739,442,-1
18,3420,1365214712036,1739,442,-1
18,3420,1365214712044,1739,442,-1
18,3420,1365214712060,1739,442,-1
18,3420,1365214712084,1739,442,-1
18,3420,1365214712106,1739,442,-1
18,3420,1365214750353,1573,577,-1
18,3420,1365214750377,1573,577,-1
18,3420,1365214750391,1573,577,-1
18,3420,1365214750415,1573,577,-1
18,3420,1365214750439,1573,577,-1
18,3420,1365214750669,1573,577,-1
18,3420,1365214750693,1573,577,-1
18,3420,1365214750701,1573,577,-1
18,3420,1365214750717,1573,577,-1
18,3420,1365214750731,1573,577,-1
18,3420,1365214750747,1573,577,-1
18,3420,1365214750978,1573,577,-1
18,3420,1365214750994,1573,577,-1
18,3420,1365214751008,1573,577,-1
18,3420,1365214751016,1573,577,-1
18,3420,1365214751033,1573,577,-1
18,3420,1365214751040,1573,577,-1
18,3420,1365214751056,1573,577,-1
18,3420,1365214751086,1573,577,-1
18,3420,1365214751294,1573,577,-1
